,name,team,g,rec_target,rec_rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fp,fpg,season,week
37,Julian Edelman,NE,1,12,6,75,0,0,0,0,7.5,7.5,2016,15
38,Rod Streater,SF,1,3,2,11,1,0,0,0,7.1,7.1,2016,15
39,Josh Bellamy,CHI,1,3,1,10,1,0,0,0,7.0,7.0,2016,15
40,Dontrelle Inman,SD,1,8,5,68,0,0,0,0,6.8,6.8,2016,15
41,Quincy Enunwa,NYJ,1,9,5,64,0,0,0,0,6.4,6.4,2016,15
42,Mike Wallace,BAL,1,5,2,60,0,0,0,0,6.0,6.0,2016,15
43,Mike Evans,TB,1,8,4,59,0,0,0,0,5.9,5.9,2016,15
44,Antonio Brown,PIT,1,5,3,58,0,0,0,0,5.8,5.8,2016,15
45,Larry Fitzgerald,ARI,1,9,7,57,0,0,0,0,5.7,5.7,2016,15
46,Kenny Britt,LAR,1,8,4,50,0,0,0,0,5.0,5.0,2016,15
47,Charles Johnson,MIN,1,5,5,50,0,0,0,0,5.0,5.0,2016,15
48,Cordarrelle Patterson,MIN,1,8,5,49,0,0,0,0,4.9,4.9,2016,15
49,Cole Beasley,DAL,1,5,4,48,0,0,0,0,4.8,4.8,2016,15
50,Emmanuel Sanders,DEN,1,6,3,48,0,0,0,0,4.8,4.8,2016,15
1,Adam Thielen,MIN,1,15,12,202,2,1,4,0,32.6,32.6,2016,16
2,Jordy Nelson,GB,1,11,9,154,2,0,0,0,27.4,27.4,2016,16
3,Doug Baldwin,SEA,1,19,13,171,1,2,6,0,23.7,23.7,2016,16
4,Sammy Watkins,BUF,1,10,7,154,1,0,0,0,21.4,21.4,2016,16
5,Cameron Meredith,CHI,1,12,9,135,1,0,0,0,19.5,19.5,2016,16
6,J.J. Nelson,ARI,1,7,3,132,1,0,0,0,19.2,19.2,2016,16
7,Dez Bryant,DAL,1,5,4,70,2,0,0,0,19.0,19.0,2016,16
8,Brandon LaFell,CIN,1,10,6,130,1,0,0,0,19.0,19.0,2016,16
9,Mike Evans,TB,1,8,7,97,1,0,0,0,15.7,15.7,2016,16
10,Antonio Brown,PIT,1,11,10,96,1,0,0,0,15.6,15.6,2016,16
11,Tyreek Hill,KC,1,5,0,0,0,6,95,1,15.5,15.5,2016,16
12,Odell Beckham Jr.,NYG,1,20,11,150,0,0,0,0,15.0,15.0,2016,16
13,Allen Robinson,JAC,1,12,9,147,0,0,0,0,14.7,14.7,2016,16
14,DeVante Parker,MIA,1,7,4,85,1,0,0,0,14.5,14.5,2016,16
15,Steve Smith,BAL,1,7,7,79,1,0,0,0,13.9,13.9,2016,16
16,Tyrell Williams,SD,1,9,4,64,1,0,0,0,12.4,12.4,2016,16
17,Kelvin Benjamin,CAR,1,8,4,63,1,0,0,0,12.3,12.3,2016,16
18,Sterling Shepard,NYG,1,11,7,61,1,1,2,0,12.3,12.3,2016,16
19,Rod Streater,SF,1,7,6,63,1,0,0,0,12.3,12.3,2016,16
20,DeSean Jackson,WAS,1,7,5,114,0,0,0,0,11.4,11.4,2016,16
21,Nelson Agholor,PHI,1,5,2,47,1,1,5,0,11.2,11.2,2016,16
22,T.Y. Hilton,IND,1,9,4,105,0,0,0,0,10.5,10.5,2016,16
23,Davante Adams,GB,1,7,4,44,1,0,0,0,10.4,10.4,2016,16
24,Paul Richardson,SEA,1,5,4,42,1,0,0,0,10.2,10.2,2016,16
25,Tavon Austin,LAR,1,7,2,14,0,3,26,1,10.0,10.0,2016,16
26,Brandin Cooks,NO,1,9,5,98,0,0,0,0,9.8,9.8,2016,16
27,Michael Thomas,NO,1,8,6,98,0,0,0,0,9.8,9.8,2016,16
28,Jermaine Kearse,SEA,1,9,4,37,1,0,0,0,9.7,9.7,2016,16
29,Marqise Lee,JAC,1,7,3,37,1,0,0,0,9.7,9.7,2016,16
30,Kenny Stills,MIA,1,8,3,35,1,0,0,0,9.5,9.5,2016,16
31,Pierre Garcon,WAS,1,5,4,94,0,0,0,0,9.4,9.4,2016,16
32,Deonte Thompson,CHI,1,4,3,34,1,0,0,0,9.4,9.4,2016,16
33,Andre Holmes,OAK,1,5,3,33,1,0,0,0,9.3,9.3,2016,16
34,Alshon Jeffery,CHI,1,10,5,92,0,0,0,0,9.2,9.2,2016,16
35,Rishard Matthews,TEN,1,9,3,31,1,0,0,0,9.1,9.1,2016,16
36,Michael Crabtree,OAK,1,10,7,90,0,0,0,0,9.0,9.0,2016,16
37,Donte Moncrief,IND,1,3,2,30,1,0,0,0,9.0,9.0,2016,16
38,Eli Rogers,PIT,1,5,4,84,0,1,6,0,9.0,9.0,2016,16
39,Stefon Diggs,MIN,1,6,4,29,1,0,0,0,8.9,8.9,2016,16
40,Julian Edelman,NE,1,8,5,89,0,0,0,0,8.9,8.9,2016,16
41,Victor Cruz,NYG,1,13,8,84,0,0,0,0,8.4,8.4,2016,16
42,Brice Butler,DAL,1,1,1,21,1,0,0,0,8.1,8.1,2016,16
43,Travis Benjamin,SD,1,4,3,75,0,0,0,0,7.5,7.5,2016,16
44,Amari Cooper,OAK,1,6,4,72,0,0,0,0,7.2,7.2,2016,16
45,Geronimo Allison,GB,1,7,4,66,0,0,0,0,6.6,6.6,2016,16
46,Jeremy Kerley,SF,1,9,5,62,0,0,0,0,6.2,6.2,2016,16
47,Russell Shepard,TB,1,5,3,61,0,0,0,0,6.1,6.1,2016,16
48,Terrance Williams,DAL,1,4,4,61,0,0,0,0,6.1,6.1,2016,16
49,Julio Jones,ATL,1,7,4,60,0,0,0,0,6.0,6.0,2016,16
50,Golden Tate,DET,1,6,6,58,0,0,0,0,5.8,5.8,2016,16
1,Julian Edelman,NE,1,13,8,151,1,1,6,0,21.7,21.7,2016,17
2,Michael Thomas,NO,1,14,10,156,1,0,0,0,21.6,21.6,2016,17
3,Rishard Matthews,TEN,1,13,9,114,1,0,0,0,17.4,17.4,2016,17
4,Julio Jones,ATL,1,9,7,96,1,0,0,0,15.6,15.6,2016,17
5,Kelvin Benjamin,CAR,1,7,6,93,1,0,0,0,15.3,15.3,2016,17
6,Davante Adams,GB,1,9,6,31,2,0,0,0,15.1,15.1,2016,17
7,Geronimo Allison,GB,1,6,4,91,1,0,0,0,15.1,15.1,2016,17
8,Golden Tate,DET,1,10,6,77,1,1,7,0,14.4,14.4,2016,17
9,Jarvis Landry,MIA,1,12,9,76,1,0,0,0,13.6,13.6,2016,17
10,Mike Evans,TB,1,11,5,65,1,0,0,0,12.5,12.5,2016,17
11,DeAndre Hopkins,HOU,1,11,7,123,0,0,0,0,12.3,12.3,2016,17
12,Anquan Boldin,DET,1,6,4,57,1,0,0,0,11.7,11.7,2016,17
13,Cobi Hamilton,PIT,1,4,3,54,1,0,0,0,11.4,11.4,2016,17
14,Larry Fitzgerald,ARI,1,7,5,43,1,0,0,0,10.3,10.3,2016,17
15,Justin Hardy,ATL,1,7,4,43,1,0,0,0,10.3,10.3,2016,17
16,Kenny Stills,MIA,1,7,4,41,1,0,0,0,10.1,10.1,2016,17
17,Amari Cooper,OAK,1,8,4,39,1,0,0,0,9.9,9.9,2016,17
18,Jeremy Ross,ARI,1,4,4,37,1,0,0,0,9.7,9.7,2016,17
19,Michael Floyd,NE,1,4,3,36,1,0,0,0,9.6,9.6,2016,17
20,Pierre Garcon,WAS,1,7,4,96,0,0,0,0,9.6,9.6,2016,17
21,T.Y. Hilton,IND,1,12,6,95,0,0,0,0,9.5,9.5,2016,17
22,Adam Humphries,TB,1,13,10,94,0,0,0,0,9.4,9.4,2016,17
23,Terrelle Pryor,CLE,1,11,7,94,0,0,0,0,9.4,9.4,2016,17
24,Ted Ginn Jr.,CAR,1,7,4,69,0,2,24,0,9.3,9.3,2016,17
25,Terrance Williams,DAL,1,5,3,33,1,0,0,0,9.3,9.3,2016,17
26,DeMarcus Ayers,PIT,1,12,5,44,1,2,-12,0,9.2,9.2,2016,17
27,Mohamed Sanu,ATL,1,4,4,32,1,0,0,0,9.2,9.2,2016,17
28,Bryan Walters,JAC,1,9,8,84,0,1,4,0,8.8,8.8,2016,17
29,Marqise Lee,JAC,1,9,6,86,0,0,0,0,8.6,8.6,2016,17
30,Jarius Wright,MIN,1,7,5,24,1,0,0,0,8.4,8.4,2016,17
31,Cody Core,CIN,1,5,4,82,0,0,0,0,8.2,8.2,2016,17
32,Jalin Marshall,NYJ,1,4,3,22,1,0,0,0,8.2,8.2,2016,17
33,Allen Robinson,JAC,1,12,5,82,0,0,0,0,8.2,8.2,2016,17
34,Willie Snead,NO,1,4,3,82,0,0,0,0,8.2,8.2,2016,17
35,Quincy Enunwa,NYJ,1,8,5,81,0,0,0,0,8.1,8.1,2016,17
36,Marvin Jones,DET,1,9,5,76,0,0,0,0,7.6,7.6,2016,17
37,J.J. Nelson,ARI,1,12,4,75,0,0,0,0,7.5,7.5,2016,17
38,Chester Rogers,IND,1,7,4,72,0,0,0,0,7.2,7.2,2016,17
39,Tyrell Williams,SD,1,7,6,70,0,0,0,0,7.0,7.0,2016,17
40,Brandon LaFell,CIN,1,11,7,67,0,0,0,0,6.7,6.7,2016,17
41,Jordy Nelson,GB,1,6,6,66,0,0,0,0,6.6,6.6,2016,17
42,Justin Hunter,BUF,1,2,1,64,0,0,0,0,6.4,6.4,2016,17
43,Breshad Perriman,BAL,1,8,4,62,0,0,0,0,6.2,6.2,2016,17
44,Tyreek Hill,KC,1,7,5,46,0,3,15,0,6.1,6.1,2016,17
45,Jeremy Kerley,SF,1,8,6,61,0,0,0,0,6.1,6.1,2016,17
46,Cameron Meredith,CHI,1,6,4,61,0,0,0,0,6.1,6.1,2016,17
47,Eli Rogers,PIT,1,6,6,61,0,0,0,0,6.1,6.1,2016,17
48,Phillip Dorsett,IND,1,4,4,56,0,0,0,0,5.6,5.6,2016,17
49,Chris Conley,KC,1,5,4,55,0,0,0,0,5.5,5.5,2016,17
50,Tyler Boyd,CIN,1,3,2,39,0,1,15,0,5.4,5.4,2016,17
1,Stefon Diggs,MIN,1,8,7,93,2,1,-6,0,20.7,20.7,2017,1
2,Tyreek Hill,KC,1,8,7,133,1,2,5,0,19.8,19.8,2017,1
3,Kenny Golladay,DET,1,7,4,69,2,0,0,0,18.9,18.9,2017,1
4,Antonio Brown,PIT,1,11,11,182,0,0,0,0,18.2,18.2,2017,1
5,Adam Thielen,MIN,1,10,9,157,0,0,0,0,15.7,15.7,2017,1
6,Nelson Agholor,PHI,1,8,6,86,1,0,0,0,14.6,14.6,2017,1
7,Bennie Fowler,DEN,1,4,3,21,2,0,0,0,14.1,14.1,2017,1
8,Jordy Nelson,GB,1,8,7,79,1,0,0,0,13.9,13.9,2017,1
9,Cooper Kupp,LAR,1,6,4,76,1,0,0,0,13.6,13.6,2017,1
10,Amari Cooper,OAK,1,13,5,62,1,0,0,0,12.2,12.2,2017,1
11,Jeremy Maclin,BAL,1,4,2,56,1,0,0,0,11.6,11.6,2017,1
12,DeAndre Hopkins,HOU,1,16,7,55,1,0,0,0,11.5,11.5,2017,1
13,Golden Tate,DET,1,12,10,107,0,2,7,0,11.4,11.4,2017,1
14,Corey Coleman,CLE,1,6,5,53,1,0,0,0,11.3,11.3,2017,1
15,Russell Shepard,CAR,1,2,2,53,1,0,0,0,11.3,11.3,2017,1
16,Travis Benjamin,LAC,1,4,3,43,1,0,0,0,10.3,10.3,2017,1
17,J.J. Nelson,ARI,1,6,5,43,1,0,0,0,10.3,10.3,2017,1
18,Danny Amendola,NE,1,7,6,100,0,0,0,0,10.0,10.0,2017,1
19,Marvin Jones,DET,1,2,2,37,1,0,0,0,9.7,9.7,2017,1
20,Keenan Allen,LAC,1,10,5,35,1,0,0,0,9.5,9.5,2017,1
21,Brandin Cooks,NE,1,7,3,88,0,0,0,0,8.8,8.8,2017,1
22,Randall Cobb,GB,1,13,9,85,0,0,0,0,8.5,8.5,2017,1
23,Michael Crabtree,OAK,1,7,6,83,0,0,0,0,8.3,8.3,2017,1
24,Pierre Garcon,SF,1,10,6,81,0,0,0,0,8.1,8.1,2017,1
25,Seth Roberts,OAK,1,1,1,19,1,0,0,0,7.9,7.9,2017,1
26,Larry Fitzgerald,ARI,1,13,6,74,0,0,0,0,7.4,7.4,2017,1
27,A.J. Green,CIN,1,10,5,74,0,0,0,0,7.4,7.4,2017,1
28,Rishard Matthews,TEN,1,9,5,71,0,0,0,0,7.1,7.1,2017,1
29,Corey Davis,TEN,1,10,6,69,0,0,0,0,6.9,6.9,2017,1
30,Terrance Williams,DAL,1,7,6,68,0,0,0,0,6.8,6.8,2017,1
31,Demaryius Thomas,DEN,1,8,5,67,0,0,0,0,6.7,6.7,2017,1
32,Julio Jones,ATL,1,5,4,66,0,0,0,0,6.6,6.6,2017,1
33,Terrelle Pryor,WAS,1,11,6,66,0,0,0,0,6.6,6.6,2017,1
34,Ryan Grant,WAS,1,6,4,61,0,0,0,0,6.1,6.1,2017,1
35,Andre Holmes,BUF,1,1,1,1,1,0,0,0,6.1,6.1,2017,1
36,Jordan Matthews,BUF,1,3,2,61,0,0,0,0,6.1,6.1,2017,1
37,Doug Baldwin,SEA,1,4,4,63,0,1,-3,0,6.0,6.0,2017,1
38,Jermaine Kearse,NYJ,1,9,7,59,0,0,0,0,5.9,5.9,2017,1
39,Paul Richardson,SEA,1,7,4,59,0,0,0,0,5.9,5.9,2017,1
40,Ted Ginn Jr.,NO,1,5,4,53,0,1,5,0,5.8,5.8,2017,1
41,Sammy Watkins,LAR,1,5,5,58,0,0,0,0,5.8,5.8,2017,1
42,T.Y. Hilton,IND,1,7,3,57,0,0,0,0,5.7,5.7,2017,1
43,Roger Lewis,NYG,1,6,4,54,0,0,0,0,5.4,5.4,2017,1
44,Tyrell Williams,LAC,1,7,5,54,0,0,0,0,5.4,5.4,2017,1
45,Robert Woods,LAR,1,5,3,53,0,0,0,0,5.3,5.3,2017,1
46,Tommylee Lewis,NO,1,3,2,52,0,0,0,0,5.2,5.2,2017,1
47,Donte Moncrief,IND,1,4,1,50,0,0,0,0,5.0,5.0,2017,1
48,Sterling Shepard,NYG,1,8,7,44,0,1,6,0,5.0,5.0,2017,1
49,Davante Adams,GB,1,7,3,47,0,0,0,0,4.7,4.7,2017,1
50,Mohamed Sanu,ATL,1,9,6,47,0,0,0,0,4.7,4.7,2017,1
1,Michael Crabtree,OAK,1,6,6,80,3,0,0,0,26.0,26.0,2017,2
2,Jermaine Kearse,NYJ,1,5,4,64,2,0,0,0,18.4,18.4,2017,2
3,Emmanuel Sanders,DEN,1,8,6,62,2,0,0,0,18.2,18.2,2017,2
4,J.J. Nelson,ARI,1,7,5,120,1,0,0,0,18.0,18.0,2017,2
5,Davante Adams,GB,1,10,8,99,1,0,0,0,15.9,15.9,2017,2
6,Martavis Bryant,PIT,1,4,3,91,1,1,7,0,15.8,15.8,2017,2
7,Mike Evans,TB,1,9,7,93,1,0,0,0,15.3,15.3,2017,2
8,Alshon Jeffery,PHI,1,13,7,92,1,0,0,0,15.2,15.2,2017,2
9,Brandon Coleman,NO,1,6,4,82,1,0,0,0,14.2,14.2,2017,2
10,Allen Hurns,JAC,1,7,6,82,1,0,0,0,14.2,14.2,2017,2
11,Chris Hogan,NE,1,6,5,78,1,0,0,0,13.8,13.8,2017,2
12,Cordarrelle Patterson,OAK,1,1,1,6,0,3,57,1,12.3,12.3,2017,2
13,Dez Bryant,DAL,1,16,7,59,1,0,0,0,11.9,11.9,2017,2
14,Deonte Thompson,CHI,1,5,4,57,1,0,0,0,11.7,11.7,2017,2
15,Julio Jones,ATL,1,9,5,108,0,0,0,0,10.8,10.8,2017,2
16,Keenan Allen,LAC,1,10,9,100,0,0,0,0,10.0,10.0,2017,2
17,Rashard Higgins,CLE,1,11,7,95,0,1,4,0,9.9,9.9,2017,2
18,Kenny Stills,MIA,1,5,2,37,1,0,0,0,9.7,9.7,2017,2
19,Jeremy Maclin,BAL,1,5,4,31,1,0,0,0,9.1,9.1,2017,2
20,Michael Thomas,NO,1,10,5,89,0,0,0,0,8.9,8.9,2017,2
21,Marvin Jones,DET,1,5,1,27,1,0,0,0,8.7,8.7,2017,2
22,DeVante Parker,MIA,1,9,4,85,0,0,0,0,8.5,8.5,2017,2
23,Mohamed Sanu,ATL,1,6,5,85,0,0,0,0,8.5,8.5,2017,2
24,Paul Richardson,SEA,1,5,2,19,1,0,0,0,7.9,7.9,2017,2
25,Kelvin Benjamin,CAR,1,8,6,77,0,0,0,0,7.7,7.7,2017,2
26,Marqise Lee,JAC,1,12,7,76,0,0,0,0,7.6,7.6,2017,2
27,JuJu Smith-Schuster,PIT,1,4,3,16,1,0,0,0,7.6,7.6,2017,2
28,Phillip Dorsett,NE,1,3,3,68,0,1,7,0,7.5,7.5,2017,2
29,Jaron Brown,ARI,1,11,4,73,0,0,0,0,7.3,7.3,2017,2
30,DeAndre Hopkins,HOU,1,13,7,73,0,0,0,0,7.3,7.3,2017,2
31,Ryan Grant,WAS,1,2,1,11,1,0,0,0,7.1,7.1,2017,2
32,Jarvis Landry,MIA,1,15,13,78,0,1,-7,0,7.1,7.1,2017,2
33,Demaryius Thomas,DEN,1,8,6,71,0,0,0,0,7.1,7.1,2017,2
34,Randall Cobb,GB,1,9,6,60,0,1,10,0,7.0,7.0,2017,2
35,Nelson Agholor,PHI,1,3,1,9,1,0,0,0,6.9,6.9,2017,2
36,Kendall Wright,CHI,1,10,7,69,0,0,0,0,6.9,6.9,2017,2
37,Devin Funchess,CAR,1,7,4,68,0,0,0,0,6.8,6.8,2017,2
38,A.J. Green,CIN,1,8,5,67,0,0,0,0,6.7,6.7,2017,2
39,Alex Erickson,CIN,1,6,4,62,0,1,2,0,6.4,6.4,2017,2
40,Tyler Lockett,SEA,1,9,6,64,0,0,0,0,6.4,6.4,2017,2
41,Antonio Brown,PIT,1,11,5,62,0,0,0,0,6.2,6.2,2017,2
42,Taywan Taylor,TEN,1,1,1,42,0,2,16,0,5.8,5.8,2017,2
43,Chris Conley,KC,1,4,4,55,0,0,0,0,5.5,5.5,2017,2
44,Tyrell Williams,LAC,1,4,4,54,0,0,0,0,5.4,5.4,2017,2
45,Josh Bellamy,CHI,1,7,4,51,0,0,0,0,5.1,5.1,2017,2
46,Tyreek Hill,KC,1,6,4,43,0,1,6,0,4.9,4.9,2017,2
47,T.Y. Hilton,IND,1,6,4,49,0,0,0,0,4.9,4.9,2017,2
48,Jamison Crowder,WAS,1,5,4,47,0,0,0,0,4.7,4.7,2017,2
49,Doug Baldwin,SEA,1,9,6,44,0,0,0,0,4.4,4.4,2017,2
50,Adam Thielen,MIN,1,6,5,44,0,0,0,0,4.4,4.4,2017,2
1,Stefon Diggs,MIN,1,11,8,173,2,0,0,0,29.3,29.3,2017,3
2,Brandin Cooks,NE,1,7,5,131,2,0,0,0,25.1,25.1,2017,3
3,Sammy Watkins,LAR,1,7,6,106,2,0,0,0,22.6,22.6,2017,3
4,T.Y. Hilton,IND,1,9,7,153,1,0,0,0,21.3,21.3,2017,3
5,Larry Fitzgerald,ARI,1,15,13,149,1,0,0,0,20.9,20.9,2017,3
6,Odell Beckham Jr.,NYG,1,13,9,79,2,0,0,0,19.9,19.9,2017,3
7,Sterling Shepard,NYG,1,10,7,133,1,0,0,0,19.3,19.3,2017,3
8,Chris Hogan,NE,1,6,4,68,2,0,0,0,18.8,18.8,2017,3
9,Jordy Nelson,GB,1,9,6,52,2,0,0,0,17.2,17.2,2017,3
10,A.J. Green,CIN,1,13,10,111,1,0,0,0,17.1,17.1,2017,3
11,Antonio Brown,PIT,1,14,10,110,1,0,0,0,17.0,17.0,2017,3
12,Doug Baldwin,SEA,1,15,10,105,1,0,0,0,16.5,16.5,2017,3
13,Robby Anderson,NYJ,1,6,3,95,1,0,0,0,15.5,15.5,2017,3
14,Brice Butler,DAL,1,2,2,90,1,0,0,0,15.0,15.0,2017,3
15,Tyreek Hill,KC,1,8,5,77,1,3,13,0,15.0,15.0,2017,3
16,Rishard Matthews,TEN,1,10,6,87,1,0,0,0,14.7,14.7,2017,3
17,Michael Thomas,NO,1,8,7,87,1,0,0,0,14.7,14.7,2017,3
18,DeSean Jackson,TB,1,7,4,84,1,0,0,0,14.4,14.4,2017,3
19,Pierre Garcon,SF,1,10,7,142,0,0,0,0,14.2,14.2,2017,3
20,Taylor Gabriel,ATL,1,6,5,79,1,0,0,0,13.9,13.9,2017,3
21,DeVante Parker,MIA,1,10,8,76,1,0,0,0,13.6,13.6,2017,3
22,Geronimo Allison,GB,1,8,6,122,0,0,0,0,12.2,12.2,2017,3
23,Ted Ginn Jr.,NO,1,3,2,44,1,1,15,0,11.9,11.9,2017,3
24,Bruce Ellington,HOU,1,7,4,59,1,1,-1,0,11.8,11.8,2017,3
25,Golden Tate,DET,1,11,7,58,1,0,0,0,11.8,11.8,2017,3
26,Travis Benjamin,LAC,1,8,5,105,0,1,9,0,11.4,11.4,2017,3
27,Kenny Britt,CLE,1,10,3,54,1,0,0,0,11.4,11.4,2017,3
28,Josh Doctson,WAS,1,2,1,52,1,0,0,0,11.2,11.2,2017,3
29,Robert Woods,LAR,1,7,6,108,0,0,0,0,10.8,10.8,2017,3
30,Adam Thielen,MIN,1,8,5,98,0,0,0,0,9.8,9.8,2017,3
31,Demaryius Thomas,DEN,1,9,6,98,0,0,0,0,9.8,9.8,2017,3
32,Trent Taylor,SF,1,4,3,32,1,0,0,0,9.2,9.2,2017,3
33,Julio Jones,ATL,1,12,7,91,0,0,0,0,9.1,9.1,2017,3
34,Paul Richardson,SEA,1,7,2,30,1,0,0,0,9.0,9.0,2017,3
35,Mohamed Sanu,ATL,1,6,4,28,1,0,0,0,8.8,8.8,2017,3
36,Jaron Brown,ARI,1,6,2,27,1,0,0,0,8.7,8.7,2017,3
37,Allen Hurns,JAC,1,3,3,20,1,0,0,0,8.0,8.0,2017,3
38,DeAndre Hopkins,HOU,1,8,7,76,0,0,0,0,7.6,7.6,2017,3
39,Emmanuel Sanders,DEN,1,15,7,75,0,0,0,0,7.5,7.5,2017,3
40,Albert Wilson,KC,1,4,3,18,1,1,-4,0,7.4,7.4,2017,3
41,Dez Bryant,DAL,1,2,2,12,1,0,0,0,7.2,7.2,2017,3
42,Brandon Coleman,NO,1,1,1,11,1,0,0,0,7.1,7.1,2017,3
43,Jarius Wright,MIN,1,3,2,9,1,0,0,0,6.9,6.9,2017,3
44,Adam Humphries,TB,1,10,6,68,0,0,0,0,6.8,6.8,2017,3
45,Mike Evans,TB,1,12,7,67,0,0,0,0,6.7,6.7,2017,3
46,Andre Holmes,BUF,1,2,2,6,1,0,0,0,6.6,6.6,2017,3
47,Brandon Marshall,NYG,1,11,8,66,0,0,0,0,6.6,6.6,2017,3
48,Marqise Lee,JAC,1,7,4,65,0,0,0,0,6.5,6.5,2017,3
49,T.J. Jones,DET,1,3,3,63,0,0,0,0,6.3,6.3,2017,3
50,Marquise Goodwin,SF,1,5,2,62,0,0,0,0,6.2,6.2,2017,3
1,Jordy Nelson,GB,1,7,4,75,2,0,0,0,19.5,19.5,2017,4
2,Devin Funchess,CAR,1,9,7,70,2,0,0,0,19.0,19.0,2017,4
3,Tyrell Williams,LAC,1,6,5,115,1,0,0,0,17.5,17.5,2017,4
4,DeAndre Hopkins,HOU,1,12,10,107,1,0,0,0,16.7,16.7,2017,4
5,Will Fuller,HOU,1,6,4,35,2,1,4,0,15.9,15.9,2017,4
6,Michael Thomas,NO,1,11,8,89,1,0,0,0,14.9,14.9,2017,4
7,Keenan Allen,LAC,1,11,5,138,0,0,0,0,13.8,13.8,2017,4
8,Terrelle Pryor,WAS,1,5,3,70,1,0,0,0,13.0,13.0,2017,4
9,Mike Evans,TB,1,11,5,67,1,0,0,0,12.7,12.7,2017,4
10,Johnny Holton,OAK,1,1,1,64,1,0,0,0,12.4,12.4,2017,4
11,A.J. Green,CIN,1,7,5,63,1,0,0,0,12.3,12.3,2017,4
12,Chris Hogan,NE,1,9,5,60,1,0,0,0,12.0,12.0,2017,4
13,Cooper Kupp,LAR,1,7,5,60,1,0,0,0,12.0,12.0,2017,4
14,Mike Wallace,BAL,1,10,6,55,1,0,0,0,11.5,11.5,2017,4
15,Kendall Wright,CHI,1,4,4,51,1,0,0,0,11.1,11.1,2017,4
16,JuJu Smith-Schuster,PIT,1,4,3,47,1,0,0,0,10.7,10.7,2017,4
17,Jaron Brown,ARI,1,12,8,105,0,0,0,0,10.5,10.5,2017,4
18,Kelvin Benjamin,CAR,1,4,4,104,0,0,0,0,10.4,10.4,2017,4
19,Randall Cobb,GB,1,4,4,44,1,0,0,0,10.4,10.4,2017,4
20,Danny Amendola,NE,1,7,6,42,1,0,0,0,10.2,10.2,2017,4
21,Dez Bryant,DAL,1,13,5,98,0,0,0,0,9.8,9.8,2017,4
22,Stefon Diggs,MIN,1,7,5,98,0,0,0,0,9.8,9.8,2017,4
23,Larry Fitzgerald,ARI,1,7,4,32,1,0,0,0,9.2,9.2,2017,4
24,Tyler Lockett,SEA,1,5,4,67,0,2,24,0,9.1,9.1,2017,4
25,Odell Beckham Jr.,NYG,1,15,7,90,0,0,0,0,9.0,9.0,2017,4
26,Donte Moncrief,IND,1,3,3,30,1,0,0,0,9.0,9.0,2017,4
27,Alshon Jeffery,PHI,1,6,3,29,1,0,0,0,8.9,8.9,2017,4
28,Ryan Grant,WAS,1,3,2,16,1,0,0,0,7.6,7.6,2017,4
29,Davante Adams,GB,1,5,2,13,1,0,0,0,7.3,7.3,2017,4
30,Brice Butler,DAL,1,2,2,12,1,0,0,0,7.2,7.2,2017,4
31,Justin Hardy,ATL,1,6,2,12,1,0,0,0,7.2,7.2,2017,4
32,Adam Humphries,TB,1,7,6,70,0,0,0,0,7.0,7.0,2017,4
33,Jordan Matthews,BUF,1,2,2,10,1,0,0,0,7.0,7.0,2017,4
34,DeVante Parker,MIA,1,8,6,69,0,0,0,0,6.9,6.9,2017,4
35,Albert Wilson,KC,1,4,4,63,0,1,6,0,6.9,6.9,2017,4
36,Paul Richardson,SEA,1,3,3,65,0,0,0,0,6.5,6.5,2017,4
37,Ricardo Louis,CLE,1,9,5,64,0,0,0,0,6.4,6.4,2017,4
38,Robby Anderson,NYJ,1,6,3,59,0,0,0,0,5.9,5.9,2017,4
39,Adam Thielen,MIN,1,8,5,59,0,0,0,0,5.9,5.9,2017,4
40,Nelson Agholor,PHI,1,4,3,58,0,0,0,0,5.8,5.8,2017,4
41,Bruce Ellington,HOU,1,4,3,44,0,1,13,0,5.7,5.7,2017,4
42,Sterling Shepard,NYG,1,5,5,54,0,0,0,0,5.4,5.4,2017,4
43,Kenny Britt,CLE,1,8,3,52,0,0,0,0,5.2,5.2,2017,4
44,Aldrick Robinson,SF,1,12,3,52,0,0,0,0,5.2,5.2,2017,4
45,Rishard Matthews,TEN,1,8,3,49,0,0,0,0,4.9,4.9,2017,4
46,Seth Roberts,OAK,1,5,4,49,0,0,0,0,4.9,4.9,2017,4
47,Martavis Bryant,PIT,1,5,3,48,0,0,0,0,4.8,4.8,2017,4
48,John Brown,ARI,1,7,3,47,0,0,0,0,4.7,4.7,2017,4
49,Trent Taylor,SF,1,10,5,47,0,0,0,0,4.7,4.7,2017,4
50,Tavon Austin,LAR,1,2,1,-2,0,6,48,0,4.6,4.6,2017,4
1,A.J. Green,CIN,1,13,7,189,1,0,0,0,24.9,24.9,2017,5
2,DeAndre Hopkins,HOU,1,12,4,52,3,0,0,0,23.2,23.2,2017,5
3,Davante Adams,GB,1,11,7,66,2,0,0,0,18.6,18.6,2017,5
4,Will Fuller,HOU,1,3,2,57,2,1,5,0,18.2,18.2,2017,5
5,T.Y. Hilton,IND,1,9,7,177,0,0,0,0,17.7,17.7,2017,5
6,Odell Beckham Jr.,NYG,1,8,5,97,1,1,8,0,16.5,16.5,2017,5
