,name,team,g,rush_att,rush_yd,rush_td,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week
26,James White,NE,1,0,0,0,5,2,32,1,9.2,9.2,2016,7
27,Zach Zenner,DET,1,9,29,1,2,0,0,0,8.9,8.9,2016,7
28,Ryan Mathews,PHI,1,14,56,0,1,1,27,0,8.3,8.3,2016,7
29,Mike Davis,SF,1,7,21,1,0,0,0,0,8.1,8.1,2016,7
30,Matt Asiata,MIN,1,12,55,0,8,6,25,0,8.0,8.0,2016,7
31,Rob Kelley,WAS,1,4,15,0,1,1,1,1,7.6,7.6,2016,7
32,Damien Williams,MIA,1,4,16,1,1,0,0,0,7.6,7.6,2016,7
33,Reggie Bush,BUF,1,1,1,1,2,1,13,0,7.4,7.4,2016,7
34,Lamar Miller,HOU,1,11,61,0,4,3,6,0,6.7,6.7,2016,7
35,Alfred Blue,HOU,1,11,63,0,3,0,0,0,6.3,6.3,2016,7
36,Ka'Deem Carey,CHI,1,10,48,0,1,1,9,0,5.7,5.7,2016,7
37,DuJuan Harris,SF,1,11,39,0,2,2,18,0,5.7,5.7,2016,7
38,Christine Michael,SEA,1,16,52,0,3,3,3,0,5.5,5.5,2016,7
39,Chris Ivory,JAC,1,5,48,0,4,2,3,0,5.1,5.1,2016,7
40,Darren Sproles,PHI,1,3,26,0,3,2,23,0,4.9,4.9,2016,7
41,Justin Forsett,DET,1,8,33,0,2,2,15,0,4.8,4.8,2016,7
42,Jerick McKinnon,MIN,1,11,43,0,1,1,5,0,4.8,4.8,2016,7
43,Antone Smith,TB,1,1,6,0,3,2,41,0,4.7,4.7,2016,7
44,Tim Hightower,NO,1,5,39,0,1,1,5,0,4.4,4.4,2016,7
45,Rex Burkhead,CIN,1,4,23,0,1,1,10,0,3.3,3.3,2016,7
46,Duke Johnson,CLE,1,6,15,0,5,4,18,0,3.3,3.3,2016,7
47,T.J. Yeldon,JAC,1,6,24,0,2,1,4,0,2.8,2.8,2016,7
48,Matt Jones,WAS,1,10,27,0,0,0,0,0,2.7,2.7,2016,7
49,Jordan Howard,CHI,1,7,22,0,1,0,0,0,2.2,2.2,2016,7
50,Robert Turbin,IND,1,2,3,0,1,1,19,0,2.2,2.2,2016,7
1,Jordan Howard,CHI,1,26,153,1,4,4,49,0,26.2,26.2,2016,8
2,Jonathan Stewart,CAR,1,25,95,2,2,1,25,0,24.0,24.0,2016,8
3,Matt Forte,NYJ,1,25,82,2,3,2,16,0,21.8,21.8,2016,8
4,Theo Riddick,DET,1,11,56,0,11,8,77,1,19.3,19.3,2016,8
5,DeMarco Murray,TEN,1,21,123,1,2,1,5,0,18.8,18.8,2016,8
6,Devonta Freeman,ATL,1,11,35,1,6,4,23,1,17.8,17.8,2016,8
7,Derrick Henry,TEN,1,16,60,1,5,4,37,0,15.7,15.7,2016,8
8,Melvin Gordon,SD,1,23,111,0,7,4,44,0,15.5,15.5,2016,8
9,Mike Gillislee,BUF,1,12,85,1,3,3,9,0,15.4,15.4,2016,8
10,Ezekiel Elliott,DAL,1,22,96,0,4,4,52,0,14.8,14.8,2016,8
11,Rob Kelley,WAS,1,21,87,1,2,0,0,0,14.7,14.7,2016,8
12,Devontae Booker,DEN,1,19,54,1,6,5,30,0,14.4,14.4,2016,8
13,Bilal Powell,NYJ,1,6,76,1,3,1,3,0,13.9,13.9,2016,8
14,Jacquizz Rodgers,TB,1,19,69,1,1,1,9,0,13.8,13.8,2016,8
15,Jeremy Hill,CIN,1,20,76,1,1,1,-3,0,13.3,13.3,2016,8
16,Giovani Bernard,CIN,1,11,52,1,1,1,14,0,12.6,12.6,2016,8
17,Isaiah Crowell,CLE,1,11,29,1,2,2,34,0,12.3,12.3,2016,8
18,Lamar Miller,HOU,1,17,56,1,3,2,7,0,12.3,12.3,2016,8
19,Frank Gore,IND,1,9,37,0,3,2,25,1,12.2,12.2,2016,8
20,Duke Johnson,CLE,1,4,29,0,8,6,87,0,11.6,11.6,2016,8
21,David Johnson,ARI,1,10,24,0,9,7,84,0,10.8,10.8,2016,8
22,LeGarrette Blount,NE,1,18,43,1,0,0,0,0,10.3,10.3,2016,8
23,C.J. Prosise,SEA,1,4,23,0,4,4,80,0,10.3,10.3,2016,8
24,Darren Sproles,PHI,1,15,86,0,7,5,17,0,10.3,10.3,2016,8
25,Tim Hightower,NO,1,26,102,0,3,1,0,0,10.2,10.2,2016,8
26,Christine Michael,SEA,1,10,40,1,2,1,2,0,10.2,10.2,2016,8
27,Matt Asiata,MIN,1,14,42,0,5,2,36,0,7.8,7.8,2016,8
28,Jonathan Williams,BUF,1,5,12,1,0,0,0,0,7.2,7.2,2016,8
29,Ryan Mathews,PHI,1,4,10,1,1,1,1,0,7.1,7.1,2016,8
30,Latavius Murray,OAK,1,11,48,0,7,5,23,0,7.1,7.1,2016,8
31,Jamize Olawale,OAK,1,1,-1,0,2,2,69,0,6.8,6.8,2016,8
32,Juwan Thompson,DEN,1,1,1,1,0,0,0,0,6.1,6.1,2016,8
33,Charcandrick West,KC,1,14,52,0,3,2,8,0,6.0,6.0,2016,8
34,Terron Ward,ATL,1,6,46,0,1,1,11,0,5.7,5.7,2016,8
35,T.J. Yeldon,JAC,1,3,20,0,4,4,36,0,5.6,5.6,2016,8
36,Derek Watt,SD,1,0,0,0,1,1,53,0,5.3,5.3,2016,8
37,Spencer Ware,KC,1,7,19,0,2,2,28,0,4.7,4.7,2016,8
38,Alfred Blue,HOU,1,9,41,0,0,0,0,0,4.1,4.1,2016,8
39,Chris Thompson,WAS,1,7,14,0,5,5,27,0,4.1,4.1,2016,8
40,Jalen Richard,OAK,1,5,34,0,2,2,3,0,3.7,3.7,2016,8
41,Robert Turbin,IND,1,2,9,0,3,3,25,0,3.4,3.4,2016,8
42,Aaron Ripkowski,GB,1,6,34,0,1,1,-1,0,3.3,3.3,2016,8
43,DeAndre Washington,OAK,1,5,32,0,0,0,0,0,3.2,3.2,2016,8
44,James White,NE,1,2,15,0,5,2,14,0,2.9,2.9,2016,8
45,Reggie Bush,BUF,1,2,-8,0,3,2,34,0,2.6,2.6,2016,8
46,Jerome Felton,BUF,1,0,0,0,3,2,26,0,2.6,2.6,2016,8
47,Antone Smith,TB,1,4,16,0,2,1,9,0,2.5,2.5,2016,8
48,Ronnie Hillman,MIN,1,4,15,0,5,2,9,0,2.4,2.4,2016,8
49,Andre Ellington,ARI,1,0,0,0,1,1,16,0,1.6,1.6,2016,8
50,Daniel Lasco,NO,1,5,15,0,0,0,0,0,1.5,1.5,2016,8
1,Melvin Gordon,SD,1,32,196,1,4,4,65,0,32.1,32.1,2016,9
2,Latavius Murray,OAK,1,20,114,3,1,1,13,0,30.7,30.7,2016,9
3,Mark Ingram,NO,1,15,158,1,2,2,13,1,29.1,29.1,2016,9
4,Ezekiel Elliott,DAL,1,18,92,2,1,1,5,0,21.7,21.7,2016,9
5,DuJuan Harris,SF,1,10,59,0,6,5,83,1,20.2,20.2,2016,9
6,Frank Gore,IND,1,19,60,2,2,2,11,0,19.1,19.1,2016,9
7,Jay Ajayi,MIA,1,24,111,1,4,3,19,0,19.0,19.0,2016,9
8,Tim Hightower,NO,1,23,87,1,1,1,15,0,16.2,16.2,2016,9
9,Matt Forte,NYJ,1,12,92,1,2,1,5,0,15.7,15.7,2016,9
10,Kapri Bibbs,DEN,1,2,11,0,1,1,69,1,14.0,14.0,2016,9
11,DeMarco Murray,TEN,1,14,51,1,7,7,29,0,14.0,14.0,2016,9
12,T.J. Yeldon,JAC,1,7,33,0,6,5,32,1,12.5,12.5,2016,9
13,LeSean McCoy,BUF,1,21,85,0,5,4,35,0,12.0,12.0,2016,9
14,Chris Ivory,JAC,1,18,107,0,2,1,0,0,10.7,10.7,2016,9
15,Devonta Freeman,ATL,1,17,77,0,2,2,28,0,10.5,10.5,2016,9
16,Mike Gillislee,BUF,1,8,32,1,2,2,4,0,9.6,9.6,2016,9
17,Ty Montgomery,GB,1,7,53,0,3,3,38,0,9.1,9.1,2016,9
18,Theo Riddick,DET,1,14,70,0,3,1,6,0,7.6,7.6,2016,9
19,Ryan Mathews,PHI,1,5,15,1,1,1,0,0,7.5,7.5,2016,9
20,Todd Gurley,LAR,1,12,48,0,5,4,26,0,7.4,7.4,2016,9
21,Charcandrick West,KC,1,13,39,0,4,3,35,0,7.4,7.4,2016,9
22,Jalen Richard,OAK,1,8,62,0,3,2,10,0,7.2,7.2,2016,9
23,Darren Sproles,PHI,1,13,57,0,9,3,14,0,7.1,7.1,2016,9
24,Le'Veon Bell,PIT,1,14,32,0,9,6,38,0,7.0,7.0,2016,9
25,Isaiah Crowell,CLE,1,6,4,0,4,4,63,0,6.7,6.7,2016,9
26,Kenjon Barner,PHI,1,1,3,1,0,0,0,0,6.3,6.3,2016,9
27,Ronnie Hillman,MIN,1,7,30,0,1,1,32,0,6.2,6.2,2016,9
28,Patrick DiMarco,ATL,1,0,0,0,1,1,1,1,6.1,6.1,2016,9
29,Christine Michael,SEA,1,5,1,1,0,0,0,0,6.1,6.1,2016,9
30,Alfred Morris,DAL,1,17,56,0,0,0,0,0,5.6,5.6,2016,9
31,Peyton Barber,TB,1,11,31,0,5,4,24,0,5.5,5.5,2016,9
32,Antone Smith,TB,1,5,25,0,4,3,27,0,5.2,5.2,2016,9
33,Bilal Powell,NYJ,1,6,22,0,4,4,29,0,5.1,5.1,2016,9
34,Damien Williams,MIA,1,5,29,0,3,2,20,0,4.9,4.9,2016,9
35,Paul Perkins,NYG,1,11,32,0,3,3,15,0,4.7,4.7,2016,9
36,Duke Johnson,CLE,1,5,30,0,2,2,16,0,4.6,4.6,2016,9
37,Benny Cunningham,LAR,1,3,10,0,6,5,32,0,4.2,4.2,2016,9
38,Jonathan Stewart,CAR,1,15,42,0,0,0,0,0,4.2,4.2,2016,9
39,Matt Asiata,MIN,1,9,27,0,2,2,14,0,4.1,4.1,2016,9
40,Rashad Jennings,NYG,1,11,26,0,3,3,13,0,3.9,3.9,2016,9
41,DeAndre Washington,OAK,1,10,35,0,1,1,0,0,3.5,3.5,2016,9
42,Devontae Booker,DEN,1,10,22,0,3,1,8,0,3.0,3.0,2016,9
43,Terron Ward,ATL,1,8,30,0,0,0,0,0,3.0,3.0,2016,9
44,Terrance West,BAL,1,15,21,0,3,1,6,0,2.7,2.7,2016,9
45,Dwayne Washington,DET,1,10,26,0,1,0,0,0,2.6,2.6,2016,9
46,Wendell Smallwood,PHI,1,2,25,0,0,0,0,0,2.5,2.5,2016,9
47,Robert Turbin,IND,1,2,10,0,3,2,13,0,2.3,2.3,2016,9
48,Reggie Bush,BUF,1,0,0,0,2,2,22,0,2.2,2.2,2016,9
49,Mike Davis,SF,1,2,11,0,1,1,9,0,2.0,2.0,2016,9
50,Mike James,TB,1,1,3,0,3,3,17,0,2.0,2.0,2016,9
1,Ezekiel Elliott,DAL,1,21,114,2,2,2,95,1,38.9,38.9,2016,10
2,Ryan Mathews,PHI,1,19,109,2,2,2,30,0,25.9,25.9,2016,10
3,Le'Veon Bell,PIT,1,17,57,1,10,9,77,1,25.4,25.4,2016,10
4,LeGarrette Blount,NE,1,21,69,3,0,0,0,0,24.9,24.9,2016,10
5,David Johnson,ARI,1,19,55,1,7,5,46,1,22.1,22.1,2016,10
6,DeMarco Murray,TEN,1,17,123,1,3,2,33,0,21.6,21.6,2016,10
7,C.J. Prosise,SEA,1,17,66,0,7,7,87,0,15.3,15.3,2016,10
8,Bilal Powell,NYJ,1,4,37,0,7,7,52,1,14.9,14.9,2016,10
9,Damien Williams,MIA,1,2,2,1,1,1,18,1,14.0,14.0,2016,10
10,Melvin Gordon,SD,1,24,70,0,8,5,62,0,13.2,13.2,2016,10
11,Matt Forte,NYJ,1,20,98,0,3,2,11,0,10.9,10.9,2016,10
12,Rashad Jennings,NYG,1,15,87,0,6,3,22,0,10.9,10.9,2016,10
13,Jeremy Hill,CIN,1,15,46,1,0,0,0,0,10.6,10.6,2016,10
14,Doug Martin,TB,1,16,33,1,2,1,13,0,10.6,10.6,2016,10
15,James Starks,GB,1,7,33,0,4,3,11,1,10.4,10.4,2016,10
16,Jordan Howard,CHI,1,15,100,0,0,0,0,0,10.0,10.0,2016,10
17,Rob Kelley,WAS,1,22,97,0,1,1,-2,0,9.5,9.5,2016,10
18,Devontae Booker,DEN,1,24,76,0,2,2,12,0,8.8,8.8,2016,10
19,Lamar Miller,HOU,1,15,83,0,0,0,0,0,8.3,8.3,2016,10
20,Devonta Freeman,ATL,1,12,49,0,3,3,32,0,8.1,8.1,2016,10
21,Jay Ajayi,MIA,1,19,79,0,1,1,1,0,8.0,8.0,2016,10
22,Kenneth Dixon,BAL,1,6,38,0,7,5,42,0,8.0,8.0,2016,10
23,Terrance West,BAL,1,21,65,0,2,1,12,0,7.7,7.7,2016,10
24,Darren Sproles,PHI,1,2,19,0,10,8,57,0,7.6,7.6,2016,10
25,Matt Asiata,MIN,1,9,13,1,1,1,2,0,7.5,7.5,2016,10
26,Todd Gurley,LAR,1,21,64,0,1,1,8,0,7.2,7.2,2016,10
27,Spencer Ware,KC,1,13,61,0,3,3,11,0,7.2,7.2,2016,10
28,Wendell Smallwood,PHI,1,13,70,0,1,0,0,0,7.0,7.0,2016,10
29,Mark Ingram,NO,1,11,50,0,2,2,13,0,6.3,6.3,2016,10
30,T.J. Yeldon,JAC,1,9,32,0,3,3,27,0,5.9,5.9,2016,10
31,Tim Hightower,NO,1,8,21,0,2,2,34,0,5.5,5.5,2016,10
32,Isaiah Crowell,CLE,1,9,23,0,5,3,30,0,5.3,5.3,2016,10
33,Akeem Hunt,HOU,1,8,52,0,2,1,1,0,5.3,5.3,2016,10
34,Benny Cunningham,LAR,1,6,40,0,5,3,7,0,4.7,4.7,2016,10
35,Chris Ivory,JAC,1,9,31,0,3,2,10,0,4.1,4.1,2016,10
36,Jonathan Stewart,CAR,1,13,39,0,1,0,0,0,3.9,3.9,2016,10
37,Peyton Barber,TB,1,12,38,0,0,0,0,0,3.8,3.8,2016,10
38,James White,NE,1,2,5,0,4,4,32,0,3.7,3.7,2016,10
39,Giovani Bernard,CIN,1,7,17,0,5,3,19,0,3.6,3.6,2016,10
40,Chris Thompson,WAS,1,4,25,0,3,3,11,0,3.6,3.6,2016,10
41,Jerick McKinnon,MIN,1,6,16,0,4,3,17,0,3.3,3.3,2016,10
42,Derrick Henry,TEN,1,9,31,0,0,0,0,0,3.1,3.1,2016,10
43,Duke Johnson,CLE,1,2,6,0,5,3,25,0,3.1,3.1,2016,10
44,Paul Perkins,NYG,1,9,31,0,3,0,0,0,3.1,3.1,2016,10
45,Travaris Cadet,NO,1,0,0,0,3,2,26,0,2.6,2.6,2016,10
46,Jeremy Langford,CHI,1,2,16,0,5,4,10,0,2.6,2.6,2016,10
47,Christine Michael,SEA,1,5,22,0,1,1,4,0,2.6,2.6,2016,10
48,Alfred Blue,HOU,1,7,23,0,0,0,0,0,2.3,2.3,2016,10
49,Kapri Bibbs,DEN,1,7,22,0,1,0,0,0,2.2,2.2,2016,10
50,Ty Montgomery,GB,1,3,9,0,2,2,11,0,2.0,2.0,2016,10
1,Rob Kelley,WAS,1,24,137,3,2,0,0,0,31.7,31.7,2016,11
2,David Johnson,ARI,1,22,103,1,11,7,57,1,28.0,28.0,2016,11
3,Le'Veon Bell,PIT,1,28,146,1,9,8,55,0,26.1,26.1,2016,11
4,Rashad Jennings,NYG,1,21,85,1,6,5,44,0,18.9,18.9,2016,11
5,Lamar Miller,HOU,1,24,104,1,3,2,9,0,17.3,17.3,2016,11
6,Jamize Olawale,OAK,1,2,-3,0,3,3,90,1,14.7,14.7,2016,11
7,C.J. Prosise,SEA,1,4,76,1,3,2,5,0,14.1,14.1,2016,11
8,DeMarco Murray,TEN,1,21,70,0,3,3,9,1,13.9,13.9,2016,11
9,Todd Gurley,LAR,1,20,76,1,2,0,0,0,13.6,13.6,2016,11
10,James Starks,GB,1,9,25,0,6,5,46,1,13.1,13.1,2016,11
11,Ezekiel Elliott,DAL,1,25,97,0,5,4,30,0,12.7,12.7,2016,11
12,Tim Hightower,NO,1,12,69,0,9,8,57,0,12.6,12.6,2016,11
13,LeGarrette Blount,NE,1,19,124,0,0,0,0,0,12.4,12.4,2016,11
14,James White,NE,1,0,0,0,6,6,63,1,12.3,12.3,2016,11
15,Frank Gore,IND,1,18,50,0,4,4,71,0,12.1,12.1,2016,11
16,Chris Ivory,JAC,1,17,39,0,6,6,75,0,11.4,11.4,2016,11
17,Terrance West,BAL,1,8,42,1,2,1,11,0,11.3,11.3,2016,11
18,Jalen Richard,OAK,1,3,2,0,3,3,50,1,11.2,11.2,2016,11
19,Carlos Hyde,SF,1,19,86,0,3,3,24,0,11.0,11.0,2016,11
20,Doug Martin,TB,1,24,63,0,4,3,42,0,10.5,10.5,2016,11
21,LeSean McCoy,BUF,1,5,33,1,3,2,12,0,10.5,10.5,2016,11
22,Shaun Draughn,SF,1,0,0,0,3,3,43,1,10.3,10.3,2016,11
23,Jordan Howard,CHI,1,17,77,0,8,1,22,0,9.9,9.9,2016,11
24,Jonathan Stewart,CAR,1,18,31,1,4,1,8,0,9.9,9.9,2016,11
25,Jeremy Langford,CHI,1,6,8,1,3,3,30,0,9.8,9.8,2016,11
26,Latavius Murray,OAK,1,12,33,0,5,5,59,0,9.2,9.2,2016,11
27,Thomas Rawls,SEA,1,14,57,0,4,3,31,0,8.8,8.8,2016,11
28,Matt Asiata,MIN,1,5,20,1,1,1,7,0,8.7,8.7,2016,11
29,Spencer Ware,KC,1,17,69,0,2,2,16,0,8.5,8.5,2016,11
30,Jay Ajayi,MIA,1,16,77,0,4,3,7,0,8.4,8.4,2016,11
31,Theo Riddick,DET,1,4,13,0,10,8,70,0,8.3,8.3,2016,11
32,Wendell Smallwood,PHI,1,13,48,0,5,4,31,0,7.9,7.9,2016,11
33,Mark Ingram,NO,1,7,28,0,4,3,47,0,7.5,7.5,2016,11
34,Mike Gillislee,BUF,1,14,72,0,1,0,0,0,7.2,7.2,2016,11
35,Robert Turbin,IND,1,2,4,1,0,0,0,0,6.4,6.4,2016,11
36,Jeremy Hill,CIN,1,16,62,0,2,2,1,0,6.3,6.3,2016,11
37,Giovani Bernard,CIN,1,7,21,0,8,5,40,0,6.1,6.1,2016,11
38,Duke Johnson,CLE,1,2,10,0,4,3,46,0,5.6,5.6,2016,11
39,Dion Lewis,NE,1,5,23,0,5,3,26,0,4.9,4.9,2016,11
40,Ty Montgomery,GB,1,4,17,0,4,3,27,0,4.4,4.4,2016,11
41,Charcandrick West,KC,1,0,0,0,3,3,42,0,4.2,4.2,2016,11
42,Jerick McKinnon,MIN,1,16,44,0,1,1,-3,0,4.1,4.1,2016,11
43,Kenneth Dixon,BAL,1,6,40,0,1,0,0,0,4.0,4.0,2016,11
44,Paul Perkins,NYG,1,4,16,0,2,2,19,0,3.5,3.5,2016,11
45,Kyle Juszczyk,BAL,1,0,0,0,3,3,32,0,3.2,3.2,2016,11
46,T.J. Yeldon,JAC,1,4,16,0,3,2,16,0,3.2,3.2,2016,11
47,Ryan Mathews,PHI,1,7,31,0,0,0,0,0,3.1,3.1,2016,11
48,Jonathan Williams,BUF,1,4,26,0,1,1,0,0,2.6,2.6,2016,11
49,Denard Robinson,JAC,1,3,21,0,1,1,4,0,2.5,2.5,2016,11
50,Isaiah Crowell,CLE,1,8,10,0,5,5,13,0,2.3,2.3,2016,11
1,Mark Ingram,NO,1,14,146,1,2,1,21,1,28.7,28.7,2016,12
2,LeSean McCoy,BUF,1,19,103,2,2,2,31,0,25.4,25.4,2016,12
3,Ezekiel Elliott,DAL,1,20,97,2,2,2,23,0,24.0,24.0,2016,12
4,David Johnson,ARI,1,13,58,0,11,8,103,1,22.1,22.1,2016,12
5,Jonathan Stewart,CAR,1,17,96,2,1,0,0,0,21.6,21.6,2016,12
6,Le'Veon Bell,PIT,1,23,120,1,5,4,22,0,20.2,20.2,2016,12
7,Devonta Freeman,ATL,1,16,60,2,3,2,17,0,19.7,19.7,2016,12
8,Tim Hightower,NO,1,15,51,0,2,2,54,1,16.5,16.5,2016,12
9,Carlos Hyde,SF,1,13,65,0,6,5,30,1,15.5,15.5,2016,12
10,Latavius Murray,OAK,1,19,45,1,4,3,43,0,14.8,14.8,2016,12
11,Jordan Howard,CHI,1,18,84,0,5,3,43,0,12.7,12.7,2016,12
12,Derrick Henry,TEN,1,8,60,1,0,0,0,0,12.0,12.0,2016,12
13,Jay Ajayi,MIA,1,18,45,1,2,1,11,0,11.6,11.6,2016,12
14,Chris Ivory,JAC,1,9,44,1,1,1,11,0,11.5,11.5,2016,12
15,Matt Asiata,MIN,1,5,27,1,3,3,14,0,10.1,10.1,2016,12
16,Devontae Booker,DEN,1,24,79,0,2,1,22,0,10.1,10.1,2016,12
17,Spencer Ware,KC,1,17,64,0,2,2,32,0,9.6,9.6,2016,12
18,Isaiah Crowell,CLE,1,16,44,0,7,6,47,0,9.1,9.1,2016,12
19,Doug Martin,TB,1,23,87,0,2,2,3,0,9.0,9.0,2016,12
20,Melvin Gordon,SD,1,17,70,0,4,4,19,0,8.9,8.9,2016,12
21,Todd Gurley,LAR,1,13,50,0,4,4,39,0,8.9,8.9,2016,12
22,DeMarco Murray,TEN,1,17,43,0,5,5,41,0,8.4,8.4,2016,12
23,Jeremy Hill,CIN,1,12,21,0,6,6,61,0,8.2,8.2,2016,12
24,Kenneth Dixon,BAL,1,13,49,0,4,4,31,0,8.0,8.0,2016,12
25,Jerick McKinnon,MIN,1,9,31,0,3,3,45,0,7.6,7.6,2016,12
26,Aaron Ripkowski,GB,1,3,1,1,2,2,15,0,7.6,7.6,2016,12
27,Lamar Miller,HOU,1,19,57,0,4,3,18,0,7.5,7.5,2016,12
28,Tevin Coleman,ATL,1,8,9,1,2,2,4,0,7.3,7.3,2016,12
29,James Starks,GB,1,17,41,0,5,5,27,0,6.8,6.8,2016,12
30,LeGarrette Blount,NE,1,11,67,0,1,0,0,0,6.7,6.7,2016,12
31,Terrance West,BAL,1,13,48,0,4,3,16,0,6.4,6.4,2016,12
32,Rashad Jennings,NYG,1,15,55,0,2,2,4,0,5.9,5.9,2016,12
33,Dion Lewis,NE,1,6,24,0,7,4,34,0,5.8,5.8,2016,12
34,Theo Riddick,DET,1,9,45,0,5,5,13,0,5.8,5.8,2016,12
35,Darren Sproles,PHI,1,3,6,0,7,5,48,0,5.4,5.4,2016,12
36,Matt Forte,NYJ,1,13,27,0,4,3,23,0,5.0,5.0,2016,12
37,Shaun Draughn,SF,1,0,0,0,6,6,49,0,4.9,4.9,2016,12
38,Rex Burkhead,CIN,1,5,29,0,2,2,19,0,4.8,4.8,2016,12
39,Wendell Smallwood,PHI,1,9,37,0,1,1,10,0,4.7,4.7,2016,12
40,Paul Perkins,NYG,1,9,29,0,2,2,14,0,4.3,4.3,2016,12
41,Bilal Powell,NYJ,1,8,36,0,3,1,7,0,4.3,4.3,2016,12
42,Rob Kelley,WAS,1,14,37,0,2,2,5,0,4.2,4.2,2016,12
43,Duke Johnson,CLE,1,5,14,0,5,3,26,0,4.0,4.0,2016,12
44,Denard Robinson,JAC,1,13,39,0,0,0,0,0,3.9,3.9,2016,12
45,Thomas Rawls,SEA,1,12,38,0,1,0,0,0,3.8,3.8,2016,12
46,Jordan Todman,IND,1,3,37,0,0,0,0,0,3.7,3.7,2016,12
47,Chris Thompson,WAS,1,4,17,0,6,5,17,0,3.4,3.4,2016,12
48,Frank Gore,IND,1,15,28,0,1,1,3,0,3.1,3.1,2016,12
49,Fitzgerald Toussaint,PIT,1,6,28,0,0,0,0,0,2.8,2.8,2016,12
50,Jalen Richard,OAK,1,7,23,0,0,0,0,0,2.3,2.3,2016,12
1,Jordan Howard,CHI,1,32,117,3,1,0,0,0,29.7,29.7,2016,13
2,David Johnson,ARI,1,18,84,1,12,9,91,1,29.5,29.5,2016,13
3,Thomas Rawls,SEA,1,15,106,2,1,1,12,0,23.8,23.8,2016,13
4,Devonta Freeman,ATL,1,15,56,2,5,4,49,0,22.5,22.5,2016,13
5,Latavius Murray,OAK,1,20,82,2,5,3,23,0,22.5,22.5,2016,13
6,Melvin Gordon,SD,1,17,84,1,6,4,54,0,19.8,19.8,2016,13
7,LeSean McCoy,BUF,1,17,130,0,7,7,61,0,19.1,19.1,2016,13
8,Terrance West,BAL,1,10,50,1,3,3,18,1,18.8,18.8,2016,13
9,Le'Veon Bell,PIT,1,29,118,0,7,6,64,0,18.2,18.2,2016,13
10,Spencer Ware,KC,1,14,29,1,4,3,23,1,17.2,17.2,2016,13
11,Mike Gillislee,BUF,1,8,49,2,0,0,0,0,16.9,16.9,2016,13
12,Ezekiel Elliott,DAL,1,20,86,1,5,4,19,0,16.5,16.5,2016,13
13,LeGarrette Blount,NE,1,18,88,1,0,0,0,0,14.8,14.8,2016,13
14,Doug Martin,TB,1,17,45,1,1,1,23,0,12.8,12.8,2016,13
15,Jerick McKinnon,MIN,1,9,41,0,6,5,14,1,11.5,11.5,2016,13
16,Rashad Jennings,NYG,1,6,19,0,6,6,34,1,11.3,11.3,2016,13
17,Darren Sproles,PHI,1,7,14,1,6,6,35,0,10.9,10.9,2016,13
18,Jeremy Hill,CIN,1,23,33,1,3,2,12,0,10.5,10.5,2016,13
19,Carlos Hyde,SF,1,20,92,0,2,1,6,0,9.8,9.8,2016,13
20,Devontae Booker,DEN,1,18,35,1,1,1,2,0,9.7,9.7,2016,13
21,Jay Ajayi,MIA,1,12,61,0,7,6,26,0,8.7,8.7,2016,13
22,T.J. Yeldon,JAC,1,14,55,0,7,3,27,0,8.2,8.2,2016,13
23,Matt Forte,NYJ,1,9,25,0,4,3,54,0,7.9,7.9,2016,13
24,Frank Gore,IND,1,20,79,0,1,0,0,0,7.9,7.9,2016,13
25,Aaron Ripkowski,GB,1,3,14,1,1,1,4,0,7.8,7.8,2016,13
26,Kenneth Dixon,BAL,1,6,56,0,4,4,21,0,7.7,7.7,2016,13
27,Theo Riddick,DET,1,4,2,0,6,5,15,1,7.7,7.7,2016,13
28,Robert Turbin,IND,1,6,16,1,0,0,0,0,7.6,7.6,2016,13
29,John Kuhn,NO,1,2,4,1,1,1,11,0,7.5,7.5,2016,13
30,Rex Burkhead,CIN,1,8,38,0,5,4,28,0,6.6,6.6,2016,13
31,Denard Robinson,JAC,1,17,53,0,1,1,11,0,6.4,6.4,2016,13
32,Rob Kelley,WAS,1,14,63,0,1,0,0,0,6.3,6.3,2016,13
33,Jonathan Grimes,HOU,1,5,43,0,1,1,15,0,5.8,5.8,2016,13
34,Ty Montgomery,GB,1,6,40,0,3,2,16,0,5.6,5.6,2016,13
35,Travaris Cadet,NO,1,0,0,0,6,5,53,0,5.3,5.3,2016,13
36,Mark Ingram,NO,1,7,37,0,5,5,16,0,5.3,5.3,2016,13
37,Jalen Richard,OAK,1,9,53,0,0,0,0,0,5.3,5.3,2016,13
38,Jonathan Stewart,CAR,1,11,50,0,1,1,3,0,5.3,5.3,2016,13
39,Jacquizz Rodgers,TB,1,7,29,0,1,1,21,0,5.0,5.0,2016,13
40,Kapri Bibbs,DEN,1,5,49,0,0,0,0,0,4.9,4.9,2016,13
41,Tevin Coleman,ATL,1,12,49,0,2,0,0,0,4.9,4.9,2016,13
42,Todd Gurley,LAR,1,11,38,0,3,2,9,0,4.7,4.7,2016,13
43,Chris Thompson,WAS,1,2,24,0,2,1,21,0,4.5,4.5,2016,13
44,Alfred Blue,HOU,1,5,38,0,2,2,3,0,4.1,4.1,2016,13
45,Dwayne Washington,DET,1,7,21,0,2,2,19,0,4.0,4.0,2016,13
46,Zach Zenner,DET,1,9,40,0,0,0,0,0,4.0,4.0,2016,13
47,Dion Lewis,NE,1,5,27,0,5,4,11,0,3.8,3.8,2016,13
